product,uf,volume,unit,year_month,created_at
GASOLINA C ,AMAPÁ,4563.634,m3,2006-01-01,2023-10-14
GASOLINA C ,TOCANTINS,9274.168,m3,2006-01-01,2023-10-14
GASOLINA C ,MARANHÃO,306351.738,m3,2006-01-01,2023-10-14
GASOLINA C ,PIAUÍ,19309.941,m3,2006-01-01,2023-10-14
GASOLINA C ,CEARÁ,44867.955,m3,2006-01-01,2023-10-14
GASOLINA C ,RIO GRANDE DO NORTE,23560.661,m3,2006-01-01,2023-10-14
GASOLINA C ,PARAÍBA,24829.84,m3,2006-01-01,2023-10-14
GASOLINA C ,PERNAMBUCO,56263.791,m3,2006-01-01,2023-10-14
GASOLINA C ,ALAGOAS,13172.839,m3,2006-01-01,2023-10-14
GASOLINA C ,SERGIPE,13993.842,m3,2006-01-01,2023-10-14
GASOLINA C ,BAHIA,82375.676,m3,2006-01-01,2023-10-14
GASOLINA C ,MINAS GERAIS,213519.19,m3,2006-01-01,2023-10-14
GASOLINA C ,ESPÍRITO SANTO,38645.678,m3,2006-01-01,2023-10-14
GASOLINA C ,RIO DE JANEIRO,135486.217,m3,2006-01-01,2023-10-14
GASOLINA C ,SÃO PAULO,540321.394,m3,2006-01-01,2023-10-14
GASOLINA C ,PARANÁ,1645806.401,m3,2006-01-01,2023-10-14
GASOLINA C ,SANTA CATARINA,144765.067,m3,2006-01-01,2023-10-14
GASOLINA C ,RIO GRANDE DO SUL,155948.186,m3,2006-01-01,2023-10-14
GASOLINA C ,MATO GROSSO DO SUL,26981.736,m3,2006-01-01,2023-10-14
GASOLINA C ,MATO GROSSO,32436.703,m3,2006-01-01,2023-10-14
GASOLINA C ,GOIÁS,76071.29,m3,2006-01-01,2023-10-14
GASOLINA C ,DISTRITO FEDERAL,57433.852,m3,2006-01-01,2023-10-14
GASOLINA C ,RONDÔNIA,16399.48184274536,m3,2007-01-01,2023-10-14
GASOLINA C ,ACRE,4882.678978124006,m3,2007-01-01,2023-10-14
GASOLINA C ,AMAZONAS,27996.88800246946,m3,2007-01-01,2023-10-14
GASOLINA C ,RORAIMA,4621.942166992653,m3,2007-01-01,2023-10-14
GASOLINA C ,PARÁ,34134.92331939096,m3,2007-01-01,2023-10-14
GASOLINA C ,AMAPÁ,5407.356030142269,m3,2007-01-01,2023-10-14
GASOLINA C ,TOCANTINS,157048.592779404,m3,2007-01-01,2023-10-14
GASOLINA C ,MARANHÃO,30905.623530227353,m3,2007-01-01,2023-10-14
GASOLINA C ,PIAUÍ,17927.281347769032,m3,2007-01-01,2023-10-14
GASOLINA C ,CEARÁ,48480.192569691855,m3,2007-01-01,2023-10-14
GASOLINA C ,RIO GRANDE DO NORTE,21284.39714136226,m3,2007-01-01,2023-10-14
GASOLINA C ,PARAÍBA,25790.483801279326,m3,2007-01-01,2023-10-14
GASOLINA C ,PERNAMBUCO,50343.23737737477,m3,2007-01-01,2023-10-14
GASOLINA C ,ALAGOAS,13290.038878223333,m3,2007-01-01,2023-10-14
GASOLINA C ,SERGIPE,14246.606108522967,m3,2007-01-01,2023-10-14
GASOLINA C ,BAHIA,82177.36730663019,m3,2007-01-01,2023-10-14
GASOLINA C ,MINAS GERAIS,237633.1113319973,m3,2007-01-01,2023-10-14
GASOLINA C ,ESPÍRITO SANTO,37610.39371475479,m3,2007-01-01,2023-10-14
GASOLINA C ,RIO DE JANEIRO,131168.67460424776,m3,2007-01-01,2023-10-14
GASOLINA C ,SÃO PAULO,7153912.530037315,m3,2007-01-01,2023-10-14
GASOLINA C ,PARANÁ,157981.42474007994,m3,2007-01-01,2023-10-14
GASOLINA C ,SANTA CATARINA,111236.9610722916,m3,2007-01-01,2023-10-14
GASOLINA C ,RIO GRANDE DO SUL,170834.51456686968,m3,2007-01-01,2023-10-14
GASOLINA C ,MATO GROSSO DO SUL,26090.47029042983,m3,2007-01-01,2023-10-14
GASOLINA C ,MATO GROSSO,29871.474662406516,m3,2007-01-01,2023-10-14
GASOLINA C ,GOIÁS,74045.72599117357,m3,2007-01-01,2023-10-14
GASOLINA C ,DISTRITO FEDERAL,60931.49336379083,m3,2007-01-01,2023-10-14
GASOLINA C ,RONDÔNIA,16840.199664188156,m3,2008-01-01,2023-10-14
GASOLINA C ,ACRE,5357.153824136462,m3,2008-01-01,2023-10-14
GASOLINA C ,AMAZONAS,29934.889809359694,m3,2008-01-01,2023-10-14
GASOLINA C ,RORAIMA,4455.766817223653,m3,2008-01-01,2023-10-14
GASOLINA C ,PARÁ,42578.245240469354,m3,2008-01-01,2023-10-14
GASOLINA C ,AMAPÁ,82509.62792657719,m3,2008-01-01,2023-10-14
GASOLINA C ,TOCANTINS,16145.628443393314,m3,2008-01-01,2023-10-14
GASOLINA C ,MARANHÃO,29931.872440781357,m3,2008-01-01,2023-10-14
GASOLINA C ,PIAUÍ,23179.322639448692,m3,2008-01-01,2023-10-14
GASOLINA C ,CEARÁ,56794.58548233782,m3,2008-01-01,2023-10-14
GASOLINA C ,RIO GRANDE DO NORTE,25197.571033336575,m3,2008-01-01,2023-10-14
GASOLINA C ,PARAÍBA,28727.566384969115,m3,2008-01-01,2023-10-14
GASOLINA C ,PERNAMBUCO,51922.52062983462,m3,2008-01-01,2023-10-14
GASOLINA C ,ALAGOAS,12937.890830377308,m3,2008-01-01,2023-10-14
GASOLINA C ,SERGIPE,15680.798153347017,m3,2008-01-01,2023-10-14
GASOLINA C ,BAHIA,84353.34114208109,m3,2008-01-01,2023-10-14
GASOLINA C ,MINAS GERAIS,220922.63800648224,m3,2008-01-01,2023-10-14
GASOLINA C ,ESPÍRITO SANTO,42775.82385112877,m3,2008-01-01,2023-10-14
GASOLINA C ,RIO DE JANEIRO,1616429.481431352,m3,2008-01-01,2023-10-14
GASOLINA C ,SÃO PAULO,651891.7201692279,m3,2008-01-01,2023-10-14
GASOLINA C ,PARANÁ,135470.91169144426,m3,2008-01-01,2023-10-14
GASOLINA C ,SANTA CATARINA,118521.18186022907,m3,2008-01-01,2023-10-14
GASOLINA C ,RIO GRANDE DO SUL,179735.0662696258,m3,2008-01-01,2023-10-14
GASOLINA C ,MATO GROSSO DO SUL,30157.91680634374,m3,2008-01-01,2023-10-14
GASOLINA C ,MATO GROSSO,29426.325908953753,m3,2008-01-01,2023-10-14
GASOLINA C ,GOIÁS,74168.74378464842,m3,2008-01-01,2023-10-14
GASOLINA C ,DISTRITO FEDERAL,65839.77465187074,m3,2008-01-01,2023-10-14
GASOLINA C ,RONDÔNIA,18366.432999999997,m3,2009-01-01,2023-10-14
GASOLINA C ,ACRE,5691.027790486321,m3,2009-01-01,2023-10-14
GASOLINA C ,AMAZONAS,28728.170684500954,m3,2009-01-01,2023-10-14
GASOLINA C ,RORAIMA,5403.27418636962,m3,2009-01-01,2023-10-14
GASOLINA C ,PARÁ,585376.6604745579,m3,2009-01-01,2023-10-14
GASOLINA C ,AMAPÁ,8394.0,m3,2009-01-01,2023-10-14
GASOLINA C ,TOCANTINS,14567.16,m3,2009-01-01,2023-10-14
GASOLINA C ,MARANHÃO,36721.2,m3,2009-01-01,2023-10-14
GASOLINA C ,PIAUÍ,24259.75,m3,2009-01-01,2023-10-14
GASOLINA C ,CEARÁ,53994.5,m3,2009-01-01,2023-10-14
GASOLINA C ,RIO GRANDE DO NORTE,28271.927999999996,m3,2009-01-01,2023-10-14
GASOLINA C ,PARAÍBA,29459.870000000003,m3,2009-01-01,2023-10-14
GASOLINA C ,PERNAMBUCO,52911.670000000006,m3,2009-01-01,2023-10-14
GASOLINA C ,ALAGOAS,14622.243,m3,2009-01-01,2023-10-14
GASOLINA C ,SERGIPE,16827.078385292287,m3,2009-01-01,2023-10-14
GASOLINA C ,BAHIA,79643.75224307581,m3,2009-01-01,2023-10-14
GASOLINA C ,MINAS GERAIS,238776.8074885734,m3,2009-01-01,2023-10-14
GASOLINA C ,ESPÍRITO SANTO,511197.5946141045,m3,2009-01-01,2023-10-14
GASOLINA C ,RIO DE JANEIRO,170050.77800000002,m3,2009-01-01,2023-10-14
GASOLINA C ,SÃO PAULO,551032.4660000004,m3,2009-01-01,2023-10-14
GASOLINA C ,PARANÁ,141648.65199999997,m3,2009-01-01,2023-10-14
GASOLINA C ,SANTA CATARINA,116202.87500000006,m3,2009-01-01,2023-10-14
GASOLINA C ,RIO GRANDE DO SUL,175094.688,m3,2009-01-01,2023-10-14
GASOLINA C ,MATO GROSSO DO SUL,30379.079999999994,m3,2009-01-01,2023-10-14
