product,uf,volume,unit,year_month,created_at
ÓLEO DIESEL MARÍTIMO ,BAHIA,1471.0,m3,2014-01-01,2023-10-14
ÓLEO DIESEL MARÍTIMO ,MINAS GERAIS,0.0,m3,2014-01-01,2023-10-14
ÓLEO DIESEL MARÍTIMO ,ESPÍRITO SANTO,4592.052,m3,2014-01-01,2023-10-14
ÓLEO DIESEL MARÍTIMO ,RIO DE JANEIRO,331446.11299999995,m3,2014-01-01,2023-10-14
ÓLEO DIESEL MARÍTIMO ,SÃO PAULO,3574.0,m3,2014-01-01,2023-10-14
ÓLEO DIESEL MARÍTIMO ,PARANÁ,525.0,m3,2014-01-01,2023-10-14
ÓLEO DIESEL MARÍTIMO ,SANTA CATARINA,5540.449,m3,2014-01-01,2023-10-14
ÓLEO DIESEL MARÍTIMO ,RIO GRANDE DO SUL,1640.0,m3,2014-01-01,2023-10-14
ÓLEO DIESEL MARÍTIMO ,MATO GROSSO DO SUL,180.0,m3,2014-01-01,2023-10-14
ÓLEO DIESEL MARÍTIMO ,MATO GROSSO,0.0,m3,2014-01-01,2023-10-14
ÓLEO DIESEL MARÍTIMO ,GOIÁS,0.0,m3,2014-01-01,2023-10-14
ÓLEO DIESEL MARÍTIMO ,DISTRITO FEDERAL,0.0,m3,2014-01-01,2023-10-14
ÓLEO DIESEL (OUTROS ) ,RONDÔNIA,136.0,m3,2014-01-01,2023-10-14
ÓLEO DIESEL (OUTROS ) ,ACRE,0.0,m3,2014-01-01,2023-10-14
ÓLEO DIESEL (OUTROS ) ,AMAZONAS,0.0,m3,2014-01-01,2023-10-14
ÓLEO DIESEL (OUTROS ) ,RORAIMA,0.0,m3,2014-01-01,2023-10-14
ÓLEO DIESEL (OUTROS ) ,PARÁ,0.0,m3,2014-01-01,2023-10-14
ÓLEO DIESEL (OUTROS ) ,AMAPÁ,0.0,m3,2014-01-01,2023-10-14
ÓLEO DIESEL (OUTROS ) ,TOCANTINS,0.0,m3,2014-01-01,2023-10-14
ÓLEO DIESEL (OUTROS ) ,MARANHÃO,0.0,m3,2014-01-01,2023-10-14
ÓLEO DIESEL (OUTROS ) ,PIAUÍ,0.0,m3,2014-01-01,2023-10-14
ÓLEO DIESEL (OUTROS ) ,CEARÁ,0.0,m3,2014-01-01,2023-10-14
ÓLEO DIESEL (OUTROS ) ,RIO GRANDE DO NORTE,0.0,m3,2014-01-01,2023-10-14
ÓLEO DIESEL (OUTROS ) ,PARAÍBA,0.0,m3,2014-01-01,2023-10-14
ÓLEO DIESEL (OUTROS ) ,PERNAMBUCO,405.5,m3,2014-01-01,2023-10-14
ÓLEO DIESEL (OUTROS ) ,ALAGOAS,0.0,m3,2014-01-01,2023-10-14
ÓLEO DIESEL (OUTROS ) ,SERGIPE,0.0,m3,2014-01-01,2023-10-14
ÓLEO DIESEL (OUTROS ) ,BAHIA,0.0,m3,2014-01-01,2023-10-14
ÓLEO DIESEL (OUTROS ) ,MINAS GERAIS,11.378,m3,2014-01-01,2023-10-14
ÓLEO DIESEL (OUTROS ) ,ESPÍRITO SANTO,0.0,m3,2014-01-01,2023-10-14
ÓLEO DIESEL (OUTROS ) ,RIO DE JANEIRO,1509.203,m3,2014-01-01,2023-10-14
ÓLEO DIESEL (OUTROS ) ,SÃO PAULO,1012.19,m3,2014-01-01,2023-10-14
ÓLEO DIESEL (OUTROS ) ,PARANÁ,82.43,m3,2014-01-01,2023-10-14
ÓLEO DIESEL (OUTROS ) ,SANTA CATARINA,65.0,m3,2014-01-01,2023-10-14
ÓLEO DIESEL (OUTROS ) ,RIO GRANDE DO SUL,298.194,m3,2014-01-01,2023-10-14
ÓLEO DIESEL (OUTROS ) ,MATO GROSSO DO SUL,30.0,m3,2014-01-01,2023-10-14
ÓLEO DIESEL (OUTROS ) ,MATO GROSSO,0.0,m3,2014-01-01,2023-10-14
ÓLEO DIESEL (OUTROS ) ,GOIÁS,0.0,m3,2014-01-01,2023-10-14
ÓLEO DIESEL (OUTROS ) ,DISTRITO FEDERAL,0.0,m3,2014-01-01,2023-10-14
ÓLEO DIESEL S-10 ,RONDÔNIA,12499.3,m3,2015-01-01,2023-10-14
ÓLEO DIESEL S-10 ,ACRE,1917.0,m3,2015-01-01,2023-10-14
ÓLEO DIESEL S-10 ,AMAZONAS,8884.494,m3,2015-01-01,2023-10-14
ÓLEO DIESEL S-10 ,RORAIMA,26994.4,m3,2015-01-01,2023-10-14
ÓLEO DIESEL S-10 ,PARÁ,68228.665,m3,2015-01-01,2023-10-14
ÓLEO DIESEL S-10 ,AMAPÁ,1180.0,m3,2015-01-01,2023-10-14
ÓLEO DIESEL S-10 ,TOCANTINS,24056.6,m3,2015-01-01,2023-10-14
ÓLEO DIESEL S-10 ,MARANHÃO,37213.6,m3,2015-01-01,2023-10-14
ÓLEO DIESEL S-10 ,PIAUÍ,17481.0,m3,2015-01-01,2023-10-14
ÓLEO DIESEL S-10 ,CEARÁ,61183.03,m3,2015-01-01,2023-10-14
ÓLEO DIESEL S-10 ,RIO GRANDE DO NORTE,8785.0,m3,2015-01-01,2023-10-14
